Reference, Value, Footprint, Datasheet
P1,BATT,,
P2,MOTOR,,
P4,AUX_A,,
P6,COMMS,,
P3,PASSTHRU,,
P5,AUX_B,,
C8,10nF,,
C2,2.2uF,,
C9,68pF,,
R3,NF,,
R4,NF,,
R12,140k,,
R13,10k,,
L1,220uH 1.57R,,
C12,10uF,,
U2,TPS54061,,
R7,158k,,
C10,750pF,,
R5,97.6k,,
F1,8A,,
U3,MIC5205-3.3YM5,,
C4,1uF,,
C3,NF,,
C5,1uF,,
Q1,IPD35N10S3L-26,,
Q2,IPD35N10S3L-26,,
Q3,IPD35N10S3L-26,,
Q4,IPD35N10S3L-26,,
R6,0.01R 1W,,
R8,0R,,
R9,0R,,
R1,0R,,
R2,0R,,
D1,NF,,
D3,NF,,
D4,NF,,
D2,NF,,
U4,ST_CS70,,
C15,100nF,,
R10,NF,,
R11,0R,,
R14,NF,,
R15,0R,,
R16,1k,,
C14,NF,,
D7,NF,,
U5,MIC4605-1YM,,
U6,MIC4605-1YM,,
C11,1uF 25V X7R,,
C6,1uF 25V X7R,,
C13,1uF 25V X7R,,
C7,1uF 25V X7R,,
D6,BAV99,,
C1,150uF,Capacitors_ThroughHole:C_Radial_D10_L20_P5,
D5,TVS,,
Y1,12MHz 20pF,,
C20,39pF,,
C24,39pF,,
C21,100nF,,
C23,10nF,,
C17,100nF,,
C18,10uF,,
P7,ISP,,
R18,47k,,
R19,47k,,
R20,NF,,
U7,MAX3485,,
C16,100nF,,
R21,NF,,
R22,NF,,
R23,NF,,
D8,ESD9B5.0ST5G,,
D9,ESD9B5.0ST5G,,
U1,LPC1114FDH28/102,,
R17,0R,,
TH1,NTCS0805E3103JMT,,
R29,10k,,
R27,120k,,
R28,10k,,
C29,10nF,,
D19,3V,,
D12,GREEN,,
D10,RED,,
D11,BLUE,,
R24,1k8,,
R25,1k8,,
R26,1k8,,
Q5,MMUN2211LT1G,,
Q6,MMUN2211LT1G,,
D13,NF,,
D14,NF,,
D15,NF,,
D16,NF,,
D17,NF,,
D18,NF,,
C19,NF,,
C22,NF,,
C25,NF,,
C26,NF,,
C27,NF,,
C28,NF,,
